loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,credit_history_years,loan_status
3000,60,27.04,91.68,B,3 years,RENT,57686.42,debt_consolidation,NY,24.76,2,0,15,0,2399.07,16.12,15,21,1
18500,36,25.51,740.56,C,3 years,RENT,22939.47,home_improvement,IL,14.56,0,0,27,0,40043.79,28.07,54,10,0
11500,36,26.94,469.12,C,1 year,RENT,59085.63,car,CA,15.45,1,0,25,0,27628.38,26.62,58,10,0
4500,60,6.46,87.96,D,5 years,RENT,61704.68,other,OH,20.77,0,3,14,0,23727.46,34.27,28,19,1
26500,60,21.49,724.24,F,< 1 year,RENT,205175.51,debt_consolidation,NY,5.92,0,0,13,0,33278.37,66.47,16,16,0
1000,60,19.38,26.15,D,10+ years,MORTGAGE,54383.69,debt_consolidation,CA,10.55,0,0,7,0,34790.34,48.15,9,16,1
14500,36,18.86,530.49,F,9 years,OWN,69617.67,credit_card,TX,21.79,3,1,3,0,1527.96,25.26,53,3,1
16000,60,17.86,405.08,A,2 years,MORTGAGE,58843.94,home_improvement,NY,17.24,0,1,6,0,6262.32,22.1,44,6,0
27000,60,25.0,792.49,G,4 years,MORTGAGE,33378.29,other,MI,11.19,0,0,7,0,104090.78,58.53,54,13,1
12500,36,29.22,525.32,B,5 years,RENT,106023.01,home_improvement,FL,19.62,0,0,8,0,2866.41,38.135000000000005,7,9,0
23000,60,25.81,686.05,B,7 years,RENT,87200.6,debt_consolidation,FL,8.67,0,0,18,0,7904.35,54.25,18,27,0
4000,36,26.82,162.91,B,3 years,RENT,88922.1,major_purchase,NC,8.76,0,0,21,0,7175.73,64.06,34,3,0
1500,36,17.36,53.75,D,3 years,OWN,37998.66,other,IL,7.49,0,0,20,0,15798.62,91.13,35,1,0
37000,36,22.42,1421.1,F,< 1 year,MORTGAGE,120740.29,debt_consolidation,CA,16.38,0,0,16,0,12646.86,30.38,54,15,0
32000,36,15.68,1119.98,C,10+ years,RENT,29705.11,credit_card,CA,8.36,1,1,3,0,23294.75,40.74,41,18,0
21000,36,14.33,721.1,A,9 years,RENT,80292.26,debt_consolidation,CA,25.36,0,0,6,0,18318.0,25.03,28,12,0
12000,36,27.43,492.68,B,7 years,RENT,179015.52,other,GA,38.23,0,1,13,0,3949.35,33.18,22,25,0
25500,36,27.68,1050.37,B,nan,RENT,36487.75,debt_consolidation,IL,7.16,0,1,23,2,16118.97,28.2,41,19,0
37500,36,22.21,1436.22,B,5 years,MORTGAGE,45109.63,debt_consolidation,TX,11.3,0,0,29,0,5082.75,66.04,29,17,0
17000,36,26.03,685.21,B,8 years,RENT,62932.98,credit_card,CA,19.14,2,2,5,0,11721.77,24.11,20,1,1
22000,36,14.33,755.44,E,5 years,MORTGAGE,46549.06,debt_consolidation,NC,16.38,0,0,10,0,87539.41,57.69,29,2,0
28000,60,16.13,682.84,B,< 1 year,MORTGAGE,27575.09,debt_consolidation,NC,10.07,0,0,16,0,1186.64,13.86,48,29,0
26000,36,25.61,1042.16,C,4 years,OTHER,61962.3,debt_consolidation,TX,16.36,0,0,15,0,22866.28,64.63,49,18,0
19000,60,15.25,454.51,C,10+ years,MORTGAGE,35201.65,other,NY,18.49,0,0,21,0,4339.01,11.33,14,26,1
32000,36,6.48,980.48,F,7 years,MORTGAGE,75871.49,medical,IL,19.17,0,0,4,0,4436.84,49.08,42,5,0
34000,36,14.16,1164.68,C,< 1 year,RENT,37808.45,credit_card,TX,26.79,0,3,12,0,676.3,1.34,48,1,0
23000,36,15.26,800.23,B,< 1 year,MORTGAGE,129958.08,other,TX,19.91,0,1,18,0,2238.66,27.65,39,24,0
36000,60,9.29,752.38,C,9 years,RENT,40472.31,debt_consolidation,MI,10.99,0,5,25,0,6042.72,37.01,22,1,1
25000,60,13.93,580.8,B,1 year,RENT,50968.81,major_purchase,GA,7.3,0,1,18,0,1632.58,45.44,29,3,0
1000,36,28.39,41.57,A,8 years,OWN,89927.46,credit_card,NY,10.99,0,0,27,0,6210.13,57.2,57,11,0
27500,36,26.53,1115.77,C,4 years,MORTGAGE,32356.42,credit_card,CA,15.66,0,5,29,1,3866.11,16.3,33,18,0
18500,36,16.43,654.34,E,3 years,RENT,67085.95,major_purchase,CA,3.64,1,1,21,0,37678.06,17.67,39,8,0
33000,36,22.89,1275.53,E,3 years,MORTGAGE,115101.7,debt_consolidation,OH,12.44,0,0,9,0,18657.98,9.3,16,26,0
21000,60,9.22,438.17,C,4 years,RENT,26802.71,credit_card,CA,30.71,0,0,7,0,9850.64,52.86,11,21,0
25500,60,23.94,732.7,D,< 1 year,RENT,65664.71,credit_card,NY,39.41,0,0,27,0,20409.17,53.82,56,10,1
25000,60,17.16,623.47,C,3 years,MORTGAGE,68182.38,home_improvement,NC,15.44,0,0,10,0,90316.21,8.05,28,13,0
24000,36,23.2,931.54,D,2 years,MORTGAGE,88513.6,other,OH,3.76,2,4,17,0,653.73,14.62,41,17,1
5500,36,21.28,208.0,A,5 years,MORTGAGE,32258.11,home_improvement,MI,17.68,0,2,15,0,4692.81,21.75,29,10,0
22500,60,11.2,491.45,B,nan,RENT,30938.97,small_business,NY,3.37,0,0,24,0,23686.43,66.13,23,22,0
22500,36,25.95,905.94,B,9 years,RENT,77728.0,vacation,MI,10.02,0,1,10,0,2513.39,41.07,39,6,0
2500,36,19.52,92.3,A,6 years,RENT,69459.03,debt_consolidation,OH,15.89,1,4,12,1,14821.13,83.61,50,16,1
32500,36,24.71,1287.21,E,< 1 year,OWN,67863.01,credit_card,GA,18.69,2,2,23,1,8409.32,47.16,36,6,1
10500,36,7.8,328.06,A,< 1 year,RENT,71198.29,credit_card,CA,26.84,0,0,4,0,3898.8,56.01,49,20,0
27500,60,20.58,737.48,B,1 year,RENT,42616.11,major_purchase,IL,3.54,2,1,2,0,3309.07,15.31,57,17,0
40000,60,12.65,902.97,E,10+ years,MORTGAGE,67246.94,debt_consolidation,MI,13.13,0,0,12,0,28746.18,36.65,58,20,0
21000,36,26.59,852.72,D,9 years,MORTGAGE,69323.29,debt_consolidation,NC,9.11,0,0,28,1,41678.73,54.18,55,2,0
15500,36,28.76,647.52,C,4 years,RENT,41890.92,debt_consolidation,MI,19.38,0,1,14,0,9878.27,56.89,15,14,0
36000,36,6.87,1109.44,B,nan,MORTGAGE,152190.34,medical,NY,5.46,0,0,8,0,57623.47,18.64,56,2,0
21000,36,23.24,815.53,C,3 years,RENT,75880.61,medical,FL,4.41,0,0,18,0,18168.15,44.91,24,15,0
4500,36,8.02,141.06,A,3 years,RENT,33002.82,debt_consolidation,NC,13.97,0,3,9,0,8906.52,8.29,11,7,0
36000,36,26.51,1460.26,D,8 years,RENT,83139.63,medical,PA,2.16,2,0,8,0,4651.71,34.03,19,3,0
35000,36,8.55,1105.67,B,9 years,MORTGAGE,36778.15,car,OH,22.8,1,0,15,1,8077.75,27.64,23,9,0
16500,36,10.28,534.58,C,nan,RENT,88746.77,other,OH,17.78,0,0,27,0,60556.18,56.52,53,1,0
20500,60,11.66,452.5,A,2 years,RENT,106862.45,debt_consolidation,FL,12.7,2,1,20,0,15121.6,30.64,30,17,0
31500,60,23.33,893.98,D,9 years,RENT,39721.94,debt_consolidation,TX,9.45,5,0,18,1,30501.53,15.24,24,27,1
14000,36,12.67,469.49,E,6 years,MORTGAGE,96924.54,debt_consolidation,PA,13.42,0,0,23,0,5455.08,29.9,39,23,0
20000,36,20.1,744.29,C,5 years,RENT,73599.28,debt_consolidation,PA,12.97,0,2,12,0,8771.09,21.51,28,22,0
17000,36,19.51,627.54,A,4 years,RENT,90312.4,major_purchase,MI,26.23,0,0,11,0,2355.96,39.5,32,10,0
33500,36,15.36,1167.2,F,6 years,MORTGAGE,154569.09,debt_consolidation,NC,26.49,0,0,8,1,9126.3,38.135000000000005,57,8,0
40000,60,18.72,1031.47,C,1 year,OTHER,52960.73,other,NY,25.87,5,1,21,0,1360.77,38.135000000000005,22,26,1
36000,36,8.4,1134.76,A,1 year,MORTGAGE,41074.05,major_purchase,NY,27.73,0,0,16,0,37344.69,26.84,51,27,0
7000,36,26.97,285.66,B,6 years,MORTGAGE,38378.12,credit_card,OH,17.38,0,0,3,0,9550.71,37.45,33,5,0
15000,36,10.57,488.03,A,7 years,MORTGAGE,39818.82,debt_consolidation,TX,8.57,0,3,17,0,1015.32,38.135000000000005,16,12,0
34500,36,27.07,1409.77,B,1 year,RENT,57609.87,credit_card,MI,23.93,0,1,24,0,4658.53,58.89,26,9,0
5500,36,18.21,199.42,A,10+ years,MORTGAGE,71010.0,debt_consolidation,MI,27.35,0,1,19,0,41678.74,9.02,23,5,0
38500,36,20.54,1441.41,F,< 1 year,MORTGAGE,68757.8,major_purchase,CA,21.77,0,0,28,0,124460.15,14.91,34,11,0
29500,36,11.8,977.01,B,10+ years,MORTGAGE,90544.04,major_purchase,OH,22.12,3,0,5,0,10795.97,52.15,33,11,0
14000,36,10.95,458.01,C,4 years,OWN,60264.65,medical,OH,9.92,0,0,28,0,3682.05,54.67,52,3,0
29500,36,17.52,1059.41,D,< 1 year,OWN,123842.64,major_purchase,CA,22.51,0,0,18,0,9676.55,38.135000000000005,7,25,0
35500,36,12.05,1179.96,D,9 years,MORTGAGE,52452.94,home_improvement,FL,7.0,0,3,4,0,6324.36,26.84,36,5,0
23000,36,15.87,807.14,F,10+ years,MORTGAGE,233300.96,credit_card,GA,25.62,1,0,2,0,5990.67,60.62,17,19,0
25500,36,16.29,900.16,F,9 years,MORTGAGE,81865.56,credit_card,GA,10.61,0,3,22,0,5077.36,62.49,55,6,0
24500,60,12.14,546.72,C,8 years,RENT,39004.07,debt_consolidation,OH,4.23,0,0,8,0,2431.52,44.91,13,19,0
22000,36,12.65,737.56,D,4 years,MORTGAGE,35050.8,other,NY,29.41,1,1,9,0,1904.64,22.9,27,3,1
7500,36,29.34,315.68,B,7 years,MORTGAGE,76209.1,small_business,FL,22.35,3,1,28,0,30309.63,39.51,19,21,0
22500,36,19.89,834.92,B,3 years,RENT,53544.51,other,IL,18.38,0,0,3,0,4364.91,23.97,23,5,0
14500,36,25.88,583.29,A,< 1 year,MORTGAGE,85562.32,moving,IL,16.73,3,1,4,0,3390.81,18.54,52,25,0
31000,36,6.62,951.81,D,8 years,MORTGAGE,75858.03,moving,CA,10.41,0,0,29,1,7008.66,28.53,46,22,0
19500,60,5.55,372.92,B,10+ years,MORTGAGE,57733.08,other,NY,20.56,0,0,27,0,4275.87,31.34,51,27,1
36000,36,18.22,1305.46,A,3 years,MORTGAGE,39206.71,other,PA,7.1,1,1,20,0,7818.46,12.44,59,8,0
38000,36,25.76,1526.19,A,10+ years,MORTGAGE,28073.36,debt_consolidation,NY,5.09,0,1,17,0,456.39,65.89,11,14,0
17000,60,20.47,454.85,D,2 years,RENT,47893.86,debt_consolidation,NY,25.38,0,2,27,0,5047.4,29.05,48,27,0
34000,60,20.66,913.32,B,nan,RENT,91876.39,small_business,IL,21.8,0,1,7,0,763.76,30.93,52,6,0
11500,36,8.91,365.22,D,< 1 year,RENT,66639.11,other,IL,25.05,1,0,26,0,2735.73,13.63,29,18,1
7000,60,29.47,224.2,E,8 years,OWN,32116.67,moving,GA,31.28,0,0,2,0,197457.04,27.04,20,20,0
3500,36,18.48,127.38,B,< 1 year,RENT,65289.76,debt_consolidation,IL,6.43,0,2,13,1,9814.55,72.41,42,16,0
32500,36,8.01,1018.58,D,3 years,MORTGAGE,72595.53,other,PA,18.18,2,0,25,0,982.61,48.52,57,1,0
27500,36,15.65,962.07,B,1 year,MORTGAGE,38486.83,debt_consolidation,TX,12.65,1,0,20,0,8148.09,62.08,25,7,0
22000,36,7.26,681.91,D,7 years,MORTGAGE,64657.7,credit_card,FL,19.77,0,1,15,0,77403.01,54.49,18,19,0
28000,60,15.74,677.04,B,4 years,RENT,61642.35,credit_card,MI,10.52,0,2,27,0,84932.49,41.75,24,28,0
14500,36,22.93,560.76,F,10+ years,MORTGAGE,33810.1,debt_consolidation,CA,23.87,0,2,18,0,30511.28,0.58,58,18,0
29500,36,13.43,1000.09,G,2 years,RENT,71603.1,small_business,MI,22.21,1,0,5,0,2792.07,16.36,56,19,0
8000,36,13.17,270.21,B,3 years,MORTGAGE,79252.34,debt_consolidation,CA,17.6,0,0,21,0,4312.48,8.23,13,27,0
12500,60,18.1,318.1,B,2 years,OWN,102901.31,moving,OH,2.05,0,0,9,0,20639.34,60.37,53,16,0
31500,36,17.71,1134.22,D,9 years,MORTGAGE,101407.37,home_improvement,TX,11.57,0,3,11,0,27211.22,25.18,30,27,0
33000,36,16.94,1175.55,C,1 year,OWN,30066.45,debt_consolidation,NC,30.65,0,3,7,0,24746.18,37.03,52,13,1
13500,60,18.16,343.99,G,5 years,MORTGAGE,37462.19,home_improvement,GA,19.78,5,0,26,0,54097.37,65.72,5,20,1
31000,60,6.67,609.02,D,5 years,MORTGAGE,77460.05,medical,IL,26.05,0,0,5,0,46386.09,32.79,25,29,0
1000,36,17.12,35.71,E,2 years,RENT,77411.68,major_purchase,CA,2.44,1,2,16,0,2041.52,47.91,10,22,0
